Route,Year,StopTotal,SpeciesTotal
5,2006,420,638
5,2007,450,745
5,2008,441,819
5,2009,465,845
5,2010,471,786
5,2011,483,741
5,2012,481,853
5,2013,446,764
5,2014,489,750
5,2015,482,729
5,2016,469,725
5,2017,506,766
5,2018,467,694
5,2019,436,646
5,2020,436,646
5,2021,436,646
5,2022,436,646
11,2006,386,660
11,2007,417,760
11,2008,400.5,724.5
11,2009,384,689
11,2010,378,642
11,2011,381,644
11,2012,351,645
11,2013,324.5,597
11,2014,298,549
11,2015,345,637
11,2016,332,556
11,2017,296,466
11,2018,286,481
11,2019,472,1228
11,2020,465.5,1107
11,2021,459,986
11,2022,422,801
