STATION,year,month,hours_over_80,hours_over_90,hours_over_100,hours_between_50_and_86
72506854777,2006,1,0,0,0,181
72506854777,2006,2,0,0,0,84
72506854777,2006,3,0,0,0,141
72506854777,2006,4,0,0,0,375
72506854777,2006,5,4,0,0,833
72506854777,2006,6,48,0,0,1255
72506854777,2006,7,182,12,0,1040
72506854777,2006,8,108,23,0,1110
72506854777,2006,9,5,0,0,989
72506854777,2006,10,0,0,0,630
72506854777,2006,11,0,0,0,611
72506854777,2006,12,0,0,0,192
72506854777,2007,1,0,0,0,179
72506854777,2007,2,0,0,0,3
72506854777,2007,3,0,0,0,179
72506854777,2007,4,1,0,0,275
72506854777,2007,5,39,5,0,772
72506854777,2007,6,79,9,0,1010
72506854777,2007,7,215,9,0,1205
72506854777,2007,8,179,17,0,1152
72506854777,2007,9,60,0,0,912
72506854777,2007,10,16,0,0,932
72506854777,2007,11,0,0,0,304
72506854777,2007,12,0,0,0,57
72506854777,2008,1,0,0,0,86
72506854777,2008,2,0,0,0,103
72506854777,2008,3,0,0,0,118
72506854777,2008,4,1,0,0,431
72506854777,2008,5,0,0,0,540
72506854777,2008,6,108,18,0,1114
72506854777,2008,7,228,16,0,1199
72506854777,2008,8,52,0,0,1310
72506854777,2008,9,31,0,0,1163
72506854777,2008,10,0,0,0,562
72506854777,2008,11,0,0,0,456
72506854777,2008,12,0,0,0,168
72506854777,2009,1,0,0,0,0
72506854777,2009,2,0,0,0,43
72506854777,2009,3,0,0,0,82
72506854777,2009,4,14,0,0,507
72506854777,2009,5,10,0,0,914
72506854777,2009,6,3,0,0,1321
72506854777,2009,7,56,0,0,1363
72506854777,2009,8,163,3,0,1170
72506854777,2009,9,5,0,0,925
72506854777,2009,10,0,0,0,593
72506854777,2009,11,0,0,0,349
72506854777,2009,12,0,0,0,90
72506854777,2010,1,0,0,0,48
72506854777,2010,2,0,0,0,1
72506854777,2010,3,0,0,0,245
72506854777,2010,4,7,0,0,425
72506854777,2010,5,21,4,0,826
72506854777,2010,6,84,1,0,1089
72506854777,2010,7,222,21,0,1068
72506854777,2010,8,128,9,0,1069
72506854777,2010,9,33,9,0,897
72506854777,2010,10,4,0,0,687
72506854777,2010,11,0,0,0,295
72506854777,2010,12,0,0,0,74
72506854777,2011,1,0,0,0,5
72506854777,2011,2,0,0,0,30
72506854777,2011,3,0,0,0,124
72506854777,2011,4,0,0,0,511
72506854777,2011,5,18,0,0,922
72506854777,2011,6,50,4,0,1049
72506854777,2011,7,171,11,0,1058
72506854777,2011,8,93,0,0,1229
72506854777,2011,9,22,0,0,1199
72506854777,2011,10,10,0,0,758
72506854777,2011,11,0,0,0,448
72506854777,2011,12,0,0,0,193
72506854777,2012,1,0,0,0,59
72506854777,2012,2,0,0,0,38
72506854777,2012,3,0,0,0,283
72506854777,2012,4,13,0,0,475
72506854777,2012,5,16,0,0,1042
72506854777,2012,6,76,24,0,1026
72506854777,2012,7,212,18,0,1105
72506854777,2012,8,204,2,0,1311
72506854777,2012,9,12,0,0,1091
72506854777,2012,10,0,0,0,906
72506854777,2012,11,0,0,0,143
72506854777,2012,12,0,0,0,212
72506854777,2013,1,0,0,0,123
72506854777,2013,2,0,0,0,0
72506854777,2013,3,0,0,0,92
72506854777,2013,4,0,0,0,389
72506854777,2013,5,31,5,0,951
72506854777,2013,6,63,8,0,1160
72506854777,2013,7,224,34,0,1160
72506854777,2013,8,52,0,0,1127
72506854777,2013,9,18,3,0,794
72506854777,2013,10,4,0,0,634
72506854777,2013,11,0,0,0,331
72506854777,2013,12,0,0,0,146
72506854777,2014,1,0,0,0,88
72506854777,2014,2,0,0,0,33
72506854777,2014,3,0,0,0,99
72506854777,2014,4,0,0,0,454
72506854777,2014,5,10,0,0,846
72506854777,2014,6,81,0,0,993
72506854777,2014,7,118,0,0,1165
72506854777,2014,8,76,0,0,1141
72506854777,2014,9,63,3,0,906
72506854777,2014,10,0,0,0,896
72506854777,2014,11,0,0,0,283
72506854777,2014,12,0,0,0,138
72506854777,2015,1,0,0,0,35
72506854777,2015,2,0,0,0,0
72506854777,2015,3,0,0,0,54
72506854777,2015,4,0,0,0,428
72506854777,2015,5,22,0,0,864
72506854777,2015,6,58,0,0,946
72506854777,2015,7,176,6,0,1140
72506854777,2015,8,180,7,0,1259
72506854777,2015,9,84,5,0,1119
72506854777,2015,10,0,0,0,648
72506854777,2015,11,0,0,0,433
72506854777,2015,12,0,0,0,471
72506854777,2016,1,0,0,0,66
72506854777,2016,2,0,0,0,211
72506854777,2016,3,0,0,0,230
72506854777,2016,4,1,0,0,378
72506854777,2016,5,39,1,0,774
72506854777,2016,6,76,0,0,950
72506854777,2016,7,205,30,0,1118
72506854777,2016,8,245,15,0,1036
72506854777,2016,9,55,4,0,1134
72506854777,2016,10,3,0,0,748
72506854777,2016,11,0,0,0,330
72506854777,2016,12,0,0,0,88
72506854777,2017,1,0,0,0,55
72506854777,2017,2,0,0,0,130
72506854777,2017,3,0,0,0,105
72506854777,2017,4,7,0,0,504
72506854777,2017,5,30,6,0,886
72506854777,2017,6,77,11,0,859
72506854777,2017,7,140,0,0,1160
72506854777,2017,8,105,0,0,1115
72506854777,2017,9,53,0,0,1080
72506854777,2017,10,0,0,0,894
72506854777,2017,11,0,0,0,295
72506854777,2017,12,0,0,0,54
72506854777,2018,1,0,0,0,141
72506854777,2018,2,0,0,0,190
72506854777,2018,3,0,0,0,68
72506854777,2018,4,0,0,0,401
72506854777,2018,5,44,2,0,1057
72506854777,2018,6,71,1,0,1040
72506854777,2018,7,260,24,0,1104
72506854777,2018,8,237,36,0,1183
72506854777,2018,9,66,6,0,1197
72506854777,2018,10,5,0,0,778
72506854777,2018,11,0,0,0,343
72506854777,2018,12,0,0,0,186
72506854777,2019,1,0,0,0,52
72506854777,2019,2,0,0,0,39
72506854777,2019,3,0,0,0,125
72506854777,2019,4,0,0,0,654
72506854777,2019,5,13,0,0,774
72506854777,2019,6,43,0,0,1116
72506854777,2019,7,268,41,0,1005
72506854777,2019,8,180,3,0,1195
72506854777,2019,9,29,0,0,943
72506854777,2019,10,1,0,0,969
72506854777,2019,11,0,0,0,214
72506854777,2019,12,0,0,0,180
72506854777,2020,1,0,0,0,94
72506854777,2020,2,0,0,0,29
72506854777,2020,3,0,0,0,190
72506854777,2020,4,0,0,0,203
72506854777,2020,5,9,0,0,724
72506854777,2020,6,108,0,0,1066
72506854777,2020,7,246,30,0,1031
72506854777,2020,8,200,22,0,1147
72506854777,2020,9,26,0,0,987
72506854777,2020,10,0,0,0,809
72506854777,2020,11,0,0,0,520
72506854777,2020,12,0,0,0,185
72506854777,2021,1,0,0,0,21
72506854777,2021,2,0,0,0,30
72506854777,2021,3,0,0,0,289
72506854777,2021,4,0,0,0,371
72506854777,2021,5,20,0,0,603
72506854777,2021,6,123,20,0,924
72506854777,2021,7,99,0,0,1337
72506854777,2021,8,161,18,0,1131
72506854777,2021,9,15,0,0,1041
72506854777,2021,10,0,0,0,1015
72506854777,2021,11,0,0,0,235
72506854777,2021,12,0,0,0,158
72506854777,2022,1,0,0,0,118
72506854777,2022,2,0,0,0,160
72506854777,2022,3,0,0,0,305
72506854777,2022,4,0,0,0,467
72506854777,2022,5,26,0,0,927
72506854777,2022,6,48,1,0,961
72506854777,2022,7,250,29,0,995
72506854777,2022,8,96,28,0,338
72506854777,2022,9,0,0,0,0
72506854777,2022,10,0,0,0,0
72506854777,2022,11,0,0,0,0
72506854777,2022,12,0,0,0,0
72506854777,2023,1,0,0,0,0
72506854777,2023,2,0,0,0,0
72506854777,2023,3,0,0,0,0
72506854777,2023,4,14,1,0,499
72506854777,2023,5,16,0,0,635
72506854777,2023,6,50,0,0,1180
72506854777,2023,7,263,6,0,1168
72506854777,2023,8,87,0,0,1141
72506854777,2023,9,98,8,0,1121
72506854777,2023,10,15,0,0,955
